Message,Category
"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",ham
"a seller, we would want to inform guests that beginning at 1 april new platform rules came into view and now all users are subject to mandatory procedure. a customer named maria perez has successfully searched for your order on your computer.",spam
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam
K then 2marrow are you coming to class.,ham
Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,ham
87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,spam
"I can. But it will tell quite long, cos i haven't finish my film yet...",ham
"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe",ham
As if i wasn't having enough trouble sleeping.,ham
watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,ham
"I wonder if your phone battery went dead ? I had to tell you, I love you babe",ham
Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,ham
Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,spam
"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",spam
to log on [ service name ] until been slipped in or unexpected event. verify your account to unlock at : stop. service - balance. com / unlock,spam
a major shipment has arrived but not be delivered due to a failed recovery. clear space or raise your read limit : me. email - reference. com / online,spam
Headin towards busetop,ham
All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,ham
Ü neva tell me how i noe... I'm not at home in da aft wat...,ham
Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,ham
Now i'm going for lunch.,ham
Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,ham
"a man had paid for your card, but the details are on hold due to a security crisis. confirm contact account via : www. payment - gateway. act / info",spam
"dear seller, your account has already temporarily suspended due more incomplete accounts. please name your name from entering this link : photo. photo - platform. com / confirm",spam
Ok. Me watching tv too.,ham
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,ham
No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,ham
"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",ham
If u dun drive then how i go 2 sch.,ham
"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",spam
IM LATE TELLMISS IM ON MY WAY,ham
You unbelievable faglord,ham
Pls come quick cant bare this.,ham
its message reached $ 123. 45 from access blocked. please find that you have the sender to finalize the list : okay. final - payment. com / confirm,spam
Congratulations! You've won a 1-year premium subscription. Verify your account to claim your reward: www.premium-offers.com/claim,spam
"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",ham
We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,ham
"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",ham
Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,ham
Yes.mum lookin strong:),ham
A guy who gets used but is too dumb to realize it.,ham
And by when you're done I mean now,ham
Ding me on ya break fassyole! Blacko from londn,ham
Yes we are chatting too.,ham
"K, text me when you're on the way",ham
Are you wet right now?,ham
Wot is u up 2 then bitch?,ham
This single single answers are we fighting? Plus i said am broke and you didnt reply,ham
"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",ham
Hey happy birthday...,ham
I'm serious. You are in the money base,ham
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,spam
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,ham
Yes its possible but dint try. Pls dont tell to any one k,ham
If I was I wasn't paying attention,ham
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,spam
Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,spam
"principal seller, we would like to inform you that as of 1 april new platform only came to force and now your products are eligible for verification procedure. a customer named lisa perez has successfully turned for an order on her shop.",spam
No messages on her phone. I'm holding it now,ham
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
Oh god..taken the teeth?is it paining,ham
Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),ham
Love it! I want to flood that pretty pussy with cum...,ham
"the seller, this work name was temporarily deleted due his incomplete reports. please display your identity by following this link : www. verification - platform. mx / confirm",spam
Well. You know what i mean. Texting,ham
Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/,ham
U come n search tat vid..not finishd..,ham
"Come to me right now, Ahmad",ham
She ran off with a younger man. we will make pretty babies together :),ham
Please attend the phone:),ham
I'm at work. Please call,ham
Are you angry with me. What happen dear,ham
I'm meeting Darren...,ham
Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,spam
No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,ham
"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",ham
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham
Okie...,ham
No message..no responce..what happend?,ham
